Name,Category,Provenance,Average_rating,Download_count,Number_of_comments,View_count,Organization,Business_unit,How_data_collected,Update_frequency,Time_period_Covered,dataset_contains_geospatial,Tags
Census By Community 2007,Demographics,official,0,30,0,0,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Community 2008,Demographics,official,0,54,0,165,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'community']"
Census By Community 2008,Demographics,official,0,33,0,0,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census by Community 2016,Demographics,official,0,254,0,581,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'population']"
Census By Community 2017,Demographics,official,0,1010,0,3851,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'community']"
Census by Community 2017,Demographics,official,0,104,0,214,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'population']"
Census By Community 2017,Demographics,official,0,680,0,6,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census by Community 2018,Demographics,official,0,2184,0,7340,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'population', 'census2018']"
Census by Community 2019,Demographics,official,0,2,0,816,The City of Calgary,City Clerk's Office,null,null,null,Yes,null
Census by Community 2019,Demographics,official,0,2214,0,7710,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'population', 'census2019']"
Census By Ward 1999,Demographics,official,0,13,0,0,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Ward 1999,Demographics,official,0,71,0,302,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'ward']"
Census By Ward 2000,Demographics,official,0,63,0,198,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'ward']"
Census By Ward 2001,Demographics,official,0,11,0,0,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Ward 2001,Demographics,official,0,59,0,140,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'ward']"
Census By Ward 2002,Demographics,official,0,58,0,158,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'ward']"
Census By Ward 2002,Demographics,official,0,13,0,0,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Ward 2003,Demographics,official,0,22,0,0,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Ward 2003,Demographics,official,0,62,0,64,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'ward']"
Census By Ward 2004,Demographics,official,0,67,0,250,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'ward']"
Census By Ward 2004,Demographics,official,0,12,0,0,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Ward 2005,Demographics,official,0,61,0,220,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'ward']"
Census By Ward 2005,Demographics,official,0,15,0,0,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Ward 2006,Demographics,official,0,31,0,0,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Ward 2006,Demographics,official,0,82,0,315,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'ward']"
Census By Ward 2007,Demographics,official,0,71,0,136,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'ward']"
Census By Ward 2007,Demographics,official,0,10,0,0,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Ward 2008,Demographics,official,0,64,0,200,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'ward']"
Census By Ward 2008,Demographics,official,0,10,0,3,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Ward 2009,Demographics,official,0,13,0,1,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Ward 2009,Demographics,official,0,63,0,253,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'ward']"
Census By Ward 2010,Demographics,official,0,62,0,213,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'ward']"
Census By Ward 2010,Demographics,official,0,11,0,0,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Ward 2011,Demographics,official,0,16,0,0,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Ward 2011,Demographics,official,0,72,0,266,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'ward']"
Census By Ward 2012,Demographics,official,0,12,0,0,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Ward 2012,Demographics,official,0,69,0,225,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'ward']"
Census By Ward 2013,Demographics,official,0,26,0,3,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Ward 2013,Demographics,official,0,73,0,365,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'ward']"
Census By Ward 2014,Demographics,official,0,27,0,0,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Ward 2014,Demographics,official,0,74,0,194,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'ward']"
Census By Ward 2015,Demographics,official,0,13,0,1,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Ward 2015,Demographics,official,0,68,0,271,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'ward']"
Census By Ward 2016,Demographics,official,0,121,0,4,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census By Ward 2016,Demographics,official,0,239,0,1038,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'ward']"
Census By Ward 2017,Demographics,official,0,156,0,600,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'ward']"
Census By Ward 2017,Demographics,official,0,433,0,3,The City of Calgary,City Clerk's Office,null,None,null,Yes,null
Census by Ward 2018,Demographics,official,0,318,0,1043,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'population', 'census2018']"
Census by Ward 2019,Demographics,official,0,118,0,336,The City of Calgary,City Clerk's Office,null,None,null,Yes,"['census', 'population', 'census2019']"
Census by Ward 2019,Demographics,official,0,4,0,92,The City of Calgary,City Clerk's Office,null,null,null,Yes,null
"Census Districts (effective October 16, 2017)",Government,official,0,19,0,1,The City of Calgary,City Clerk's Office,null,Irregular,null,Yes,null
"Census Districts (effective October 16, 2017)",Government,official,0,102,0,889,The City of Calgary,City Clerk's Office,null,Irregular,null,Yes,"['census', 'election']"
Central Business District Cordon Count 2012,Transportation/Transit,official,0,94,0,125,The City of Calgary,Transportation Planning,null,None,null,Yes,"['cordon', 'count', '2012', 'business', 'district', 'bike', 'transit', 'pedestrian', 'travel', 'car', 'vehicle']"
Central Business District Cordon Count 2012 Map,Transportation/Transit,official,0,441,0,98,,,,,,,null
Central Business District Cordon Count 2012 Map 2,Transportation/Transit,official,0,18,0,27,null,null,null,null,null,null,null
Central Business District Cordon Count 2013 Map,Transportation/Transit,official,0,15,0,30,null,null,null,null,null,null,null
Central Business District Cordon Count 2014,Transportation/Transit,official,0,98,0,108,The City of Calgary,Transportation Planning,null,None,null,Yes,"['district', 'business', '2014', 'cordon', 'count', 'bike', 'transit', 'pedestrian', 'travel', 'car', 'vehicle']"
Central Business District Cordon Count 2014 Map,Transportation/Transit,official,0,16,0,38,null,null,null,null,null,null,null
Central Business District Cordon Count 2015,Transportation/Transit,official,0,104,0,155,The City of Calgary,Transportation Planning,null,None,null,Yes,"['cordon', 'count', '2015', 'business', 'district', 'bike', 'transit', 'pedestrian', 'travel', 'car', 'vehicle']"
Central Business District Cordon Count 2015 Map,Transportation/Transit,official,0,13,0,40,null,null,null,null,null,null,null
Central Business District Cordon Count 2016,Transportation/Transit,official,0,146,0,530,The City of Calgary,Transportation Planning,null,None,"May 4 - May 31, 2016",Yes,"['cordon', 'count', '2016', 'business', 'district', 'bike', 'transit', 'pedestrian', 'travel', 'car', 'vehicle']"
Central Business District Cordon Count 2016 Map,Transportation/Transit,official,0,474,0,107,The City of Calgary,Transportation Planning,null,null,null,Yes,"['cordon', 'count', '2016', 'business', 'district']"
Central Business District Cordon Count 2016 Map 2,Transportation/Transit,official,0,43,0,81,null,null,null,null,null,null,null
Central Business District Cordon Count 2017,Transportation/Transit,official,0,111,0,569,The City of Calgary,Transportation Planning,null,None,"May 9 - June 1, 2017",Yes,"['cordon', 'count', '2017', 'business', 'district', 'bike', 'transit', 'pedestrian', 'travel', 'car', 'vehicle']"
Central Business District Cordon Count 2017 Data Lens,Transportation/Transit,official,0,9,0,915,null,null,null,null,null,null,null
Central Business District Cordon Count 2017 Map,Transportation/Transit,official,0,18,0,206,null,null,null,null,null,null,null
Central Business District Cordon Count 2018,Transportation/Transit,official,0,98,0,441,The City of Calgary,Transportation Planning,null,Annual,"May 1-May 28, 2018",Yes,"['cordon', 'count', '2018', 'business', 'district', 'bike', 'transit', 'pedestrian', 'travel', 'car', 'vehicle']"
Central Business District Cordon Count 2018 Data Lens,Transportation/Transit,official,0,12,0,495,null,null,null,null,null,null,null
Central Business District Cordon Count 2018 Map,Transportation/Transit,official,0,17,0,110,The City of Calgary,Transportation Planning,null,Annual,"May 1-May 28, 2018",Yes,null
Central Business District Cordon Count 2019,Transportation/Transit,official,0,37,0,263,The City of Calgary,Transportation Planning,null,Annual,"May 1-May 28, 2018",Yes,"['cordon', 'count', '2019', 'business', 'district', 'bike', 'transit', 'pedestrian', 'travel', 'car', 'vehicle']"
Central Business District Cordon Count 2019 Data Lens,Transportation/Transit,official,0,3,0,90,null,null,null,null,null,null,null
Central Business District Cordon Count Data Lens 2016,Transportation/Transit,official,0,12,0,735,null,null,null,null,null,null,null
Central Business District Cordon Count Inbound Volume 2016,Transportation/Transit,official,0,428,0,52,The City of Calgary,Transportation Planning,null,null,null,Yes,"['cordon', 'count', '2016', 'business', 'district']"
Central Business District Cordon Count Outbound Volume 2016,Transportation/Transit,official,0,452,0,52,The City of Calgary,Transportation Planning,null,null,null,Yes,"['cordon', 'count', '2016', 'business', 'district']"
Central Business District Cordon Count Totals 2016,Transportation/Transit,official,0,423,0,78,The City of Calgary,Transportation Planning,null,null,null,Yes,"['cordon', 'count', '2016', 'business', 'district']"
Central Business District Inbound Auto Occupancy Counts 2016,Transportation/Transit,official,0,471,0,58,The City of Calgary,Transportation Planning,null,null,null,Yes,"['cordon', 'count', '2016', 'business', 'district']"
Central Business District Inbound Cyclist Totals 2016,Transportation/Transit,official,0,477,0,67,The City of Calgary,Transportation Planning,null,null,null,Yes,"['cordon', 'count', '2016', 'business', 'district']"
Central Business District Outbound Auto Occupancy Counts 2016,Transportation/Transit,official,0,432,0,54,The City of Calgary,Transportation Planning,null,null,null,Yes,"['cordon', 'count', '2016', 'business', 'district']"
Central Business District Outbound Cyclist Totals 2016,Transportation/Transit,official,0,480,0,62,The City of Calgary,Transportation Planning,null,null,null,Yes,"['cordon', 'count', '2016', 'business', 'district']"
Central Business District Transit Occupancy Count,Transportation/Transit,official,0,429,0,107,The City of Calgary,Transportation Planning,null,null,"May 4 - May 31, 2016",Yes,"['cordon', 'count', '2016', 'business', 'district']"
Citizen Satisfaction Survey - Perception of Services,Services and Amenities,official,0,17,0,104,The City of Calgary,Customer Service and Communications,null,Annual,null,No,"['service value', 'services', 'satisfaction', 'citizen satisfaction', 'surveys']"
Citizen Satisfaction Survey 2017,null,official,0,205,0,956,The City of Calgary,Customer Service and Communications,null,None,null,null,"['survey', 'citizen', 'satisfaction', 'citsat', 'research', 'perception', 'public', 'opinion']"
City Boundary,Base Maps,official,0,2878,0,19028,The City of Calgary,Corporate Analytics and Innovation,null,Irregular,null,Yes,['mdp']
City Boundary,Base Maps,official,0,255,0,67,The City of Calgary,Corporate Analytics and Innovation,null,Irregular,null,Yes,null
City of Calgary Bylaws,Government,official,0,19,0,62,The City of Calgary,City Clerk's Office,null,Irregular,null,No,null
City of Calgary Careers,Government,official,0,405,0,1481,The City of Calgary,Human Resources,RSS feed,Daily,null,No,"['career', 'jobs', 'opportunities', 'employees', 'work']"
City of Calgary Events,News and Events,official,0,5,0,186,The City of Calgary,Customer Service and Communications,null,12 hours,null,Yes,null
City of Calgary Events,News and Events,official,0,187,0,645,The City of Calgary,Customer Service and Communications,null,Daily,null,Yes,"['council', 'meeting', 'board', 'recreation', 'event', 'engagement']"
City of Calgary Events Map,News and Events,official,0,19,0,199,null,null,null,null,null,null,null
City of Calgary Newsroom,News and Events,official,0,339,0,1068,The City of Calgary,Customer Service and Communications,null,Daily,null,No,"['news', 'affordable housing', 'arts and culture', 'road closures']"
City of Calgary Solar Photovoltaic Sites,null,official,0,44,0,220,null,null,null,null,null,null,null
City Quadrants,Base Maps,official,0,94,0,9,The City of Calgary,Corporate Analytics and Innovation,null,Irregular,null,Yes,null
City Quadrants,Base Maps,official,0,818,0,3863,The City of Calgary,Corporate Analytics and Innovation,null,Irregular,null,Yes,null
Citywide Land Cover,Environment,official,0,1547,0,1793,The City of Calgary,Calgary Parks,null,Irregular,null,Yes,"['land', 'cover', 'classification', 'park', 'habitat', 'natural']"
Citywide Land Cover Classification Map,Environment,official,0,20,0,792,The City of Calgary,Calgary Parks,null,null,null,null,null
Civic census 2011 - Car travel by Community,Transportation/Transit,official,0,7,0,64,null,null,null,null,null,null,null
Civic census 2011 - Drove alone to Work,Transportation/Transit,official,0,16,0,36,null,null,null,null,null,null,null
Civic census 2011 - Modes of Travel to Work,Transportation/Transit,official,0,120,0,179,The City of Calgary,Transportation Planning,null,None,null,Yes,"['travel', 'bike', 'walk', 'transit', 'car', 'carpool', 'work']"
Civic census 2011 - Travel by Bike to Work,Transportation/Transit,official,0,18,0,54,null,null,null,null,null,null,null
Civic census 2011 - Travel by Transit to Work Map,Transportation/Transit,official,0,16,0,38,null,null,null,null,null,null,null
Civic census 2014 - Car travel by Community,Transportation/Transit,official,0,8,0,36,null,null,null,null,null,Yes,null
Civic census 2014 - Modes of Travel to Work,Transportation/Transit,official,0,101,0,101,The City of Calgary,Transportation Planning,null,None,null,Yes,null
Civic census 2014 - Travel by Bike to Work,Transportation/Transit,official,0,15,0,27,null,null,null,null,null,Yes,null
Civic census 2016 - Car travel by Community,Transportation/Transit,official,0,6,0,170,The City of Calgary,Transportation Planning,null,null,null,Yes,null
Civic census 2016 - Modes of Travel to Work,Transportation/Transit,official,0,269,0,607,The City of Calgary,Transportation Planning,null,None,null,Yes,null
Civic census 2016 - Travel by Bike to Work,Transportation/Transit,official,0,17,0,104,The City of Calgary,Transportation Planning,null,null,null,Yes,null
Civic Census by Community,Demographics,official,0,85,0,558,The City of Calgary,City Clerk's Office,null,Annually,1998-present,null,"['census', 'population', 'census2018']"
Civic Census by Community and Dwelling Structure,Demographics,official,0,271,0,971,The City of Calgary,City Clerk's Office,null,Annual,1998-present,null,"['census', 'population', 'census2018']"
"Civic Census by Community, Age and Gender",Demographics,official,0,155,0,759,The City of Calgary,City Clerk's Office,null,Annual,1996-present,null,"['census', 'population']"
Civic Census by Ward,Demographics,official,0,16,0,107,The City of Calgary,City Clerk's Office,null,Annually,1997-present,null,"['census', 'population', 'census2018']"
Civic Census by Ward and Dwelling Structure,Demographics,official,0,255,0,1306,The City of Calgary,City Clerk's Office,null,Annual,1997-present,null,"['census', 'population', 'census2018']"
"Civic Census by Ward, Age and Gender",Demographics,official,0,39,0,210,The City of Calgary,City Clerk's Office,null,Annual,1994-present,null,"['census', 'population']"
Civic Census Citywide,Demographics,official,0,35,0,442,The City of Calgary,City Clerk's Office,null,Annually,1997-present,null,"['census', 'population', 'census2018']"
Civic Census Results 1958-2019,Demographics,official,0,680,0,3816,The City of Calgary,City Clerk's Office,null,Annual,1958-present,null,"['census', 'population', 'census2018']"
Collection System Levels and Flows,Services and Amenities,official,0,10,0,172,The City of Calgary,Water Resources and Water Services,null,Irregular,2005-2013 (no 2006 data),No,"['flow', 'level', 'velocity', 'collection', 'wastewater']"
Communities by Sector,Base Maps,official,0,17,0,287,The City of Calgary,Calgary Community Standards,null,As required,null,Yes,null
Communities by Ward,Government,official,0,290,0,1120,The City of Calgary,Corporate Analytics and Innovation,null,Irregular,null,Yes,"['ward', 'community']"
Communities by Ward Data Lens,Government,official,0,8,0,606,null,null,null,null,null,null,null
Community Boundaries,Base Maps,official,100,4294,4,11321,The City of Calgary,Corporate Analytics and Innovation,null,Irregular,null,Yes,"['community', 'boundary']"
Community Boundaries 2011,null,official,0,71,0,158,The City of Calgary,City Clerk's Office,null,None,2011,Yes,null
Community Crime and Disorder Map (to be archived),Health and Safety,official,0,33,0,180340,null,null,null,null,null,null,null
Community Crime and Disorder Statistics (to be archived),Health and Safety,official,0,3208,0,27998,The City of Calgary,Calgary Police Service,null,Monthly,2012-Present,Yes,"['crime', 'police', 'law enforcement', 'community', 'disorder', 'property', 'safety']"
Community Crime and Disorder Statistics Timeline,Health and Safety,official,0,9,0,3938,null,null,null,null,null,null,null
Community Crime Data Lens,null,official,0,2,0,460,null,null,null,null,null,null,null
Community Crime Histogram,Health and Safety,official,0,7,0,189,null,null,null,null,null,null,null
Community Crime Statistics,Health and Safety,official,0,719,0,3281,The City of Calgary,Calgary Police Service,null,Monthly,2017-Present,Yes,"['crime', 'police', 'law enforcement', 'community', 'safety']"
Community Crime Statistics Column Chart,Health and Safety,official,0,5,0,153,null,null,null,null,null,null,null
Community Crime Statistics Map,Health and Safety,official,0,3,0,1651,null,null,null,null,null,null,null
Community Map of Calgary Business Licences,Business and Economic Activity,official,0,2,0,632,The City of Calgary,Calgary Community Standards,null,Monthly,null,Yes,null
Community Points,Base Maps,official,0,494,0,1690,The City of Calgary,Calgary Community Standards,null,Irregular,null,Yes,['community']
Community Points Map View,Base Maps,official,0,603,0,842,The City of Calgary,Corporate Analytics and Innovation,,,,Yes,"['community', 'points']"
Community Sectors,Base Maps,official,0,262,1,511,The City of Calgary,Corporate Analytics and Innovation,null,Irregular,null,Yes,null
Community Sectors Map,Base Maps,official,0,16,0,308,The City of Calgary,Corporate Analytics and Innovation,null,As needed,null,Yes,null
Community Services,Services and Amenities,official,0,484,0,1325,The City of Calgary,Corporate Analytics and Innovation,null,Monthly,null,Yes,"['attraction', 'community', 'centre', 'cout', 'hospital', 'library', 'phs clinic', 'visitor info', 'social dev ctr']"
Community Services Map,Services and Amenities,official,0,575,0,663,null,null,null,null,null,null,null
Community-wide GHG Inventory By Emissions Source,Environment,official,0,9,0,535,null,null,null,null,null,null,null
Community-wide GHG Inventory By Sector,Environment,official,0,9,0,549,null,null,null,null,null,null,null
Community-wide Greenhouse Gas (GHG) Inventory,Environment,official,0,241,0,1858,The City of Calgary,Environmental and Safety Management,null,Annual,2005-Present,No,"['greenhouse', 'gas', 'ghg', 'emissions', 'climate change', 'waste', 'transportation', 'buildings']"
Compensation Disclosure List,Government,official,0,108,0,982,The City of Calgary,Human Resources,null,Annual,null,null,"['pay', 'compensation', 'salary']"
Compensation Disclosure List 2015,Government,official,0,440,0,189,The City of Calgary,Human Resources,null,Annual,null,null,"['pay', 'compensation', 'salary']"
Compensation Disclosure List 2016,Government,official,0,451,0,246,The City of Calgary,Human Resources,null,Annual,null,null,"['pay', 'compensation', 'salary']"
Compensation Disclosure List 2017,Government,official,0,504,0,1828,The City of Calgary,Human Resources,null,Annual,null,null,"['pay', 'compensation', 'salary']"
Compensation Disclosure List 2018,Government,official,0,426,0,1030,The City of Calgary,Human Resources,null,Annual,null,null,"['pay', 'compensation', 'salary']"
Compensation Disclosure List 2019,Government,official,0,70,0,1048,The City of Calgary,Human Resources,null,Annual,null,null,"['pay', 'compensation', 'salary']"
Compensation Disclosure List 2020,Government,official,0,34,0,324,The City of Calgary,Human Resources,null,Annual,null,null,"['pay', 'compensation', 'salary']"
Construction and Demolition Garbage Composition - Material Category,Help and Information,official,0,1,0,19,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,null
Construction and Demolition Garbage Composition - Proper Disposal Location,Help and Information,official,0,1,0,17,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,null
Construction and Demolition Garbage Composition,Help and Information,official,0,13,0,70,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,"['waste', 'garbage', 'waste composition']"
Construction Detours,Transportation/Transit,official,0,407,0,973,The City of Calgary,Roads,Advanced Traveler Information System (ATIS),Daily,null,Yes,"['construction', 'detour']"
Construction detours map,Transportation/Transit,official,0,15,0,131,The City of Calgary,Roads,Advanced Traveler Information System (ATIS),12 hours,null,Yes,null
Construction Detours Spatial Lens,Transportation/Transit,official,0,19,0,1577,The City of Calgary,Transportation Infrastructure,null,null,null,Yes,"['construction', 'detour']"
Corporate Energy Consumption,Environment,official,0,434,0,2217,The City of Calgary,Corporate Analytics and Innovation,null,Monthly,2014 - Present,No,"['energy', 'electricity', 'natural gas', 'district', 'solar', 'thermal']"
Council and Committee Votes,Government,official,0,0,0,122,The City of Calgary,City Clerk's Office,null,Monthly,null,No,"['vote', 'voting', 'evote']"
COVID-19 related requests by ward and community,Services and Amenities,official,0,3,0,107,The City of Calgary,Customer Service and Communications,null,Daily,null,No,null
COVID-19 Requests,Services and Amenities,official,0,84,0,418,The City of Calgary,Customer Service and Communications,null,Daily,null,No,"['311', 'call', 'coronavirus', 'covid']"
Crosswalk Locations,Health and Safety,official,0,17,0,140,null,null,null,null,null,null,null
Crosswalk Types,Health and Safety,official,0,7,0,122,null,null,null,null,null,null,null
Crosswalks,Health and Safety,official,0,168,0,415,The City of Calgary,Roads,null,Weekly,null,Yes,"['school', 'signalized', 'midblock', 'downtown', 'traffic circle']"
Current Traffic Incidents,Transportation/Transit,official,0,3550,0,886,The City of Calgary,Roads,Advanced Traveler Information System (ATIS),Continuous,null,Yes,"['traffic', 'incident', 'road', 'safety']"
Current Traffic Incidents and Construction zones,Transportation/Transit,official,0,15,0,110,The City of Calgary,Roads,Advanced Traveler Information System (ATIS),10 minutes,null,null,null
Daily COVID-19 requests to 311,Services and Amenities,official,0,2,0,91,The City of Calgary,Customer Service and Communications,null,Daily,null,No,null
"Deciduous and evergreen trees, by mature size",Environment,official,0,6,0,134,null,null,null,null,null,null,null
DETAIL,Transportation/Transit,official,0,28,0,195,The City of Calgary,Calgary Transit,Automated Passenger Counter (APC),None,20180507-20180625 and 20190506-20190623,Yes,null
"Development Permit Applications, by Community",null,official,0,16,0,476,null,null,null,null,null,null,null
Development Permit Public Notices,Government,official,0,395,0,4980,The City of Calgary,Calgary Building Services,null,Weekly,null,Yes,"['development', 'permit', 'notice']"
Development Permits,null,official,0,483,0,2998,The City of Calgary,Planning and Development,null,Daily,null,Yes,null
Education Performance,Government,official,0,0,0,324,Other,Other - Not City of Calgary,Historical publications and powerpoints,null,null,null,"['education', 'results', 'performance', 'enrolment', 'demographics', 'business plan']"
Electrical Inspections,Health and Safety,official,0,34,0,447,The City of Calgary,Calgary Approvals Coordination,null,Daily,null,Yes,"['permit', 'contractor', 'inspection']"
Employment Rates,Business and Economic Activity,official,0,1,0,219,null,null,null,null,null,null,null
EMS Stations,Health and Safety,official,0,116,0,608,The City of Calgary,Corporate Analytics and Innovation,null,Irregular,null,Yes,null
Fair Entry Program Applicants History,Services and Amenities,official,0,2,0,33,null,null,null,null,null,null,null
Fair Entry – Subsidy Assistance Management System,Services and Amenities,official,0,4,0,75,The City of Calgary,Calgary Neighbourhoods,null,Daily,null,No,"['subsidized', 'fair entry', 'subsidy', 'low-income']"
Finance Investment Returns,Government,official,0,80,0,232,The City of Calgary,Finance,null,null,null,null,['citizen-dashboard']
Finance Long Term Debt,Government,official,0,81,0,282,The City of Calgary,Finance,null,null,null,null,['citizen-dashboard']
Fire - Contained Bar,Government,official,0,453,0,187,null,null,null,null,null,null,['citizen-dashboard']
Fire - Response Time timeline,Government,official,0,466,0,213,null,null,null,null,null,null,['citizen-dashboard']
Fire 2010 Emergency Pie Chart,Government,official,0,484,0,128,null,null,null,null,null,null,['citizen-dashboard']
Fire 2015 Emergency Pie chart,Government,official,0,467,0,360,null,null,null,null,null,null,['citizen-dashboard']
Fire Emergency Calls - Stacked by type,Government,official,0,513,0,555,null,null,null,null,null,null,['citizen-dashboard']
Fire Emergency Calls- 2015 Tree,Government,official,0,487,0,163,null,null,null,null,null,null,['citizen-dashboard']
Fire Emergency Calls- Column Fire,Government,official,0,487,0,162,null,null,null,null,null,null,['citizen-dashboard']
Fire Emergency Response Calls,Government,official,0,559,0,4171,The City of Calgary,Calgary Fire Department,null,Daily,null,null,['citizen-dashboard']
Fire Emergency Response Calls Daily,Government,official,0,159,0,207,The City of Calgary,Calgary Fire Department,null,Daily,null,null,['citizen-dashboard']
Fire Emergency Response Calls Year to Date,Government,official,0,157,0,178,The City of Calgary,Calgary Fire Department,null,Daily,null,null,['citizen-dashboard']
Fire Response Flame Spread,Government,official,0,198,0,239,The City of Calgary,Calgary Fire Department,null,Irregular,null,null,['citizen-dashboard']
Fire Response Time,Government,official,0,209,0,943,The City of Calgary,Calgary Fire Department,null,Monthly,null,null,['citizen-dashboard']
Fire Response Time Year to Date,Government,official,0,102,0,280,The City of Calgary,Calgary Fire Department,null,Monthly,null,null,['citizen-dashboard']
"Flood extents from June 22, 2013",Environment,official,0,1506,0,1018,The City of Calgary,Water Resources and Water Services,null,None,2013-06-22,Yes,"['flood', 'water', 'river', 'inundation']"
Forecast Population and Jobs by Transportation Zone 2015 - 2076,Transportation/Transit,official,0,160,0,851,The City of Calgary,Calgary Growth Strategies,null,Irregular,2015 to 2076,Yes,"['jobs', 'population', 'forecast', 'zone', 'mdp']"
Green Line,Transportation/Transit,official,0,16,0,103,The City of Calgary,null,null,null,null,Yes,null
Green Line Alignment,Transportation/Transit,official,0,96,0,124,The City of Calgary,null,null,Irregular,null,Yes,null
Green Line Stations,Transportation/Transit,official,0,99,0,139,The City of Calgary,null,null,Irregular,null,Yes,null
Habitat,Environment,official,0,346,0,1652,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,"['parks', 'natural areas']"
Habitat,Environment,official,0,29,0,22,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,null
Heat map - Based on 2018 Traffic Incidents,Transportation/Transit,official,0,17,0,528,The City of Calgary,Roads,Advanced Traveler Information System (ATIS),10 minutes,December 2016-present,null,null
Heat map - Based on all Traffic Incidents,Transportation/Transit,official,0,18,0,3919,The City of Calgary,Roads,Advanced Traveler Information System (ATIS),10 minutes,December 2016-present,null,null
Heat Map of Pedestrian Incidents (2017),Transportation/Transit,community,0,585,0,1073,The City of Calgary,Transportation Planning,null,null,null,Yes,"['traffic', 'incident', 'archive', 'log']"
Heritage Trees in Calgary,Environment,official,0,25,0,1624,null,null,null,null,null,null,null
Historic City Annexation,Base Maps,official,0,28,0,1,The City of Calgary,Calgary Growth Strategies,null,Irregular,null,Yes,null
Historic City Annexation,Base Maps,official,0,127,0,2797,The City of Calgary,Calgary Growth Strategies,null,Irregular,null,Yes,"['boundary', 'boundaries', 'limit', 'limits', 'annex', 'annexation']"
Historic City Limits,Base Maps,official,0,112,0,829,The City of Calgary,Calgary Growth Strategies,null,Irregular,null,Yes,"['boundary', 'boundaries', 'limit', 'limits', 'annex', 'annexation']"
Historic City Limits,Base Maps,official,0,15,0,12,The City of Calgary,Calgary Growth Strategies,null,Irregular,null,Yes,null
Historic Resource,Recreation and Culture,official,0,542,0,2750,The City of Calgary,Planning and Development,null,Monthly,null,Yes,null
Historic Resource Data Lens,Recreation and Culture,official,0,7,0,1634,null,null,null,null,null,null,null
Historic Resource Original Use Type,Recreation and Culture,official,0,5,0,162,The City of Calgary,Planning and Development,null,null,null,Yes,null
Historical Air Quality,Environment,official,0,544,0,4737,Other,Other - Not City of Calgary,null,Monthly,1980-Present (no 1981 data),Yes,"['air', 'quality', 'historical', 'station', 'aqhi', 'parameter']"
Historical air quality by parameter,Environment,official,0,6,0,435,Other,Other - Not City of Calgary,null,Monthly,1980-Present (no 1981 data),Yes,null
